text,label
aitteriiii ei naki kahini !!! Evhabe toh vhebe dekhi nai,3
je generation sex addicted taderke ar ki e ba bolba!,0
"problem ta asole nam e..
Liton das",2
kuttar bacchare team theke baad dey na kn??,0
ato kalo manush hoy!!,2
Bandir pola valo ho..,0
vhaia prothome pic dekhe vablam apni apnar pic amare ken tag disen,3
Bah chudir vai Bah.,0
chehara dekhle to kutta muitta dibe!!..apnk natok a nilo k ???,2
uganda public naki apni?,2
Wait amare tag marailo kun chudir vai!!!,0
vaii tr pblm kii tuii amre khali Hero Alam er loge tag maros kn,2
shala valo kore word uccharon kora shikh pore gaan korish.,0
" Poribar theke cos2 peye tmr kase asechi,tmr theke kosto pele cigarette er kase jabo.",3
Bhai eta cringe o na eta asta khaishta marka ,2
"Vat khaite Hobe kno? Uthay 2 chamoch ""gu"" e kha",0
pure geraimma khet,2
arokom ajob kisimir daat dekhar jonno o to manusher like comment kora uchit.,2
kire hala like comment koros na kn?,3
Baal (chul) beiccha khao??,0
ai maiya r vuri to amr pura sorir thekeo boro!!,2
Cheleder toilet e fele dewa sperm o lakh takay bikri hoy,0
Cringe kheye chole gelam network er baire,3
Hudai etoh din gorib hoye boshe asi,
3,
Pet bair hoia roise. Erokom botka vuri dekhaia ki fayeda? ,2
mathar chul naki putkir chul?,0
R bal koto te sell koro?,0
Eishob suwor der jonno lalbag ghurte jaina.,0
dekhte to shaakchunnir moto lage,2
zoom kore hoga ta dekhar try korben na,0
hala malu,0
sala malu gorur mut khas kn gu khailei to paros,0
tora hindu ra age thik kor todet ma koyta!,0
barishal er manush to!! kharap hobei,2
ato kala hoise kmne ai baccha?,2
goru ki tr sorir r color r sathy milay kinsos naki!? ato kalo kno!?,2
ai pic er kahini ek matro legend ra bujhte parbe.,3
bichi kandhe,0
apu ek raater jonno koto tk nen?,0
baal er news reporter!,0
Bangladesh team r future to amar moto..dekha jay na.,2
"jitleo Bangladesh, Harleo Bangladesh",3
Mithun series a na khele e amadr jonno onk upokar korse.,2
toder moton madarchod asay bolei akhno amra binodon pai.,0
bujhlam na vai!!,3
unake dekhlei amar sunny leone r kotha mone hoy.,2
amar kuttar putki o tr theke shada.,2
ai apnader jonno e aisob abal ra celebrity hoye jay.,2
Bisshas to oidin e uthe gese jeidin fridge khule ice cream er box khule dekhi mosla bata.,3
Bangeli to dhonsher dike jaitese aisob vondo huzur dr jonno.,0
"sobai line a thaken,  sobai galagalir chance paben",2
Bangladesh team r nijedr man ijjot to nai..akhn amdr tao dubaitase,2
mashud tmi ki r valo haba na?,3
baaler doctor amr.,0
fb te rog er baper ask na koira hospital a jan.,3
niche ki vai?? dildo naki?,0
shalar vai re dhoira dhon ta kaitta de.,0
amr bow talak ,3
 vai amr bow valo lagse na ,3
Amar Sob Bondhu Paice Sudhu ei Hotovaga Tamim a pailo na,3
Pai nai karon mehedi nam nai ,3
" sit asteche akta valo dekhe bow diyen...,",3
Ai bow nia songsar kra jabe nh sry,3
JHONY SINS AKHON UTTRAI,0
"Ekhun maiya go jamai niye ekta video banan,,, becara bf chara khub perai ase ",3
Aj amr name a bou nai boley  becey gelam,3
amra bissas korina,3
Assca admin vai ami ora mia gleam.Thanks me given a bow ,3
Nono boro tay,0
ek jon kharap hole ki sbai kharap!! ,3
apnar ki ai powder atoi dorkar je biye boste hobe,3
gali sojjo korar khomota ache to tomar????tahole koro kono somossa nei,3
 tor bon k diye ja 2d ei pregnet koira dibo sala abal....bebohar sikisni,0
amar sathei thake darling 2jon sarakkhon bou k gali dey tao baje vasay,2
bokacoda naki tui kamlar baccha ,0
 apni hoito Bangladesh a thaken na.. ,3
Furi sylheti furi khabo ,0
bhai ki ei sob. Bangla vasa ta k ses kore dilen apnara,3
Guwa mouri ekta moshla ,0
Guya to guyai amra khai. ,0
ami jani tor lagbe...,3
:maren bhai na korche ke,3
putki mara powder,0
Ho vai amgu barite sob bai ghuya bole sopari,0
pasa vai k den..... noile kabila k patabe,3
Oi miya kunta bujos nh abr andhu sandu post koreh matat rakis 2 London sylhet ,2
Vai ei post kore apni sylheti vasar  guya mere dilen,2
Eita kinna panite guila khaila...taile r amar bar bar tore kowa lagbo nah,3
ei ta kono kotha,3
English e gua mouri banglay hoiya gelo gua mari.Aigula kinben ar gua mara khaiben,0
Gua je maren nunu te gu lage na?,0
Mouri re mari likhse kn,3
"sylhet jete voy lage,kokhon ki bole feli",2
Jokhon tomar gf ekhon class 5 a pora chatri,3
R tmr babur sathe tumio 12 bhatar hoya gcho ,0
tui nijre nije aita ki kos boin ami to tre vlo mne kortam,3
bondhu tui sokaler vhat dupur 12 tat kas,3
Shahed Kabir Se jonnoi toh kichu bollam nah,3
Hmm sona tumio 12vatari ,0
Tumi baro noi 24 byatari ,0
Amro to tai Mona hoi,3
tmi ekta paglachudi,0
Ahh ki shnti nije k nije 12 batari dake .tomr asha poron hok apu ,0
Sotti kotha mukh foske berie gache,3
Class 7er meye,3
Ami hole boltam soja bari pathiye de ,3
Sala bokachoda gulo akhon theke amar online asha bondho,0
Amr khauar shokh ghuiccha gese,3
Somoy paile hagi,3
Akdm..nijek khb borolox mne hoy,3
 ei pose ta tore sei manaibo ,3
sikhe rakho bandhopii ,3
 barir kache nodite gorte niye jabe bolyase 1 mash dore ajke na kalke kalke na kore kore oi niye jaw nai ar ai khane,3
 aiya poro nea jai kal ke,3
Ete obak howr kichu nai Bangladeshi  Media Ey rokom e,3
Bangladesher news media cude gese.dalaler baccara,2
Koi black tui to white..dektachi,2
Ei post dekhar por pasay kompass dhukaisi,0
vai re vai turu love,3
thak vabar dorkar nai ar ,3
oreh shawwar pola,0
Allah r kosom ei pic ami tuli nai,3
Holsam na bole jaben na ,3
talent' related ki ase oitai bujhlam na,3
DENDI KHEYE NESHA KORLE EMON CONTENT LEKHA JAY,2
 cokh khule fele diye ay,3
AVG. VODOX,0
Dengue er affect e ki brain damage o Hoy?,2
Taka khawanor jaiga obabh??Afghanistan kei khawate hobe tai na???jokes...,3
Bhai...Apnara You India bhokto...apnader k bujhai lab nai....jara bujhe shobai bolse..ajker match ta fixing...manen ba na manen,3
Pakistan r New Zealand theke Indiar takar drkar nai....ora Nijerai strong enough India k harabar jonno...r board chalabar jonno....kintu Afghanistan er tk drkar...India chara ..oder father nai...tai ajk match India k dise....Apni ajk oder khelar Approach dekhle bujben,3
J pandya ball e bat lagate pare na...o abar chokha mare,3
"Icha kre catch miss , fielding miss.. loppa bowl koto gulo de",3
Bangladesh er khela shika drkar Afghanistan Theke ,3
issiiiii shorom shorom,2
k jani paoruti ar jilapi khaitese xD picture tay :v,3
"Kotha ta hocche, chobi ta tuleche ke? ",3
Protibar edare lara dawa off kor,3
Ufffffffffff's sry... ami pari kinto bolbo nh ,3
Ami gorbito j ami akjon hindu,3
Bangladesh timer sara jibon shikha lagbo. Jitar dorkar asena sudu khelle hobe joto shob abaler dole,0
 Apner baler kotha khela r koto sikpo Jara notun dol aise tarai banladesh cheye vlo khele banladesh diboneyo vlo hobe na,0
keno bon jante pari?,3
Abar Semi Sudai,0
Bangladesher player gulare gorom dim therapy dawa hok,2
Kon Bainchod best eleven nirbachon korse?,0
" Cheee,tumi ai Buira khatas rea saxy dakhoo. Tomar chokh nosto hoisea kana choda ",2
 komdami fokinniee salar putea ,0
Tor ki bap naki?,3
kirea gadhiee orea janu dakos kno?O akta Buira khatas,2
mod chere coke? shobuj pakhi,3
pichone buddu kagur murti keno?,3
Malta joss,0
Shala gorib pant kinar tk nai,2
"Dadu sathe porimoni thakle valo hoto,,,",3
sobi bujlam but bed er upor gowtom Budhhor photo kno,0
tor dadu Tupi dekhalo porichoy dilo se muslim kintu tar rooom gowtom budder photo kn,0
"Shala asole Raam chagol, faltur faltu ",0
Safuda tomar gore murti kano,0
Apni na thakle pola pan gulo hasbe ki nia..,3
shala jate kukur nesha kor,0
Malaun banur fashi cai ambarir sobai ek hon,0
kuttar baicchain tor mondir bangia gura gura koro malaun or baiccain,0
Amra mosolman okle hindu oklor loge bowt vala bebohar korilai...ar day aij eta malaun or baiccain te oto sahos pailaise...etay oto sahos koi taki pailo...???,0
"Amar friends list a kono ""malaun"" thakle nij daitte ber hoye jao",0
Kichu malaun vockto abal der bolchie j pakishtan er ager din nie.Tie bole 10 wicket,0
Ekhon ki muslimder keo malaun bola hoy...,0
Malaun ar bacca der ai desh thaka nipat kora houk,0
Somosto hindu dhormio jinsi acar acoron sob close kora hok...,0
Duniar sobchay nicu jat hindu bongso nirbongso kora hok,0
Baitta,2
Shakchunni,2
pori moni max pro,3
Local bus a uitha taka chay oy Hijrar moto lagtase,2
apo dodo dekha jay,0
Ar koto khulba apu?,0
ei magir ki hoise vut e dhorse naki?,0
Lage kmn rohingya,2
Aaah khanki,0
Shorom lojja bolte tor moddhe kicchu nai magi,0
Deshi pornstar,0
Apni ei picture ta exorcism er shomoy room a TANGAIYEN. Taile kono demon ashbe na possess korte,3
Are ye Hindu? Naujubillah,0
Apni ki hindu hoye gesen naki?,3
Soytan er hat pa,2
Ossobbo meye akta sanay o valo ae meye theke,2
Aha pasa dekha jacche na to eita kono chobi holo,0
Bangladeshi Sunny Leone,0
Are you muslim Bangali meye sharite manay not western dress Airokom kicu meyeder dekhadekhi onk vlo meyerao nogno dress pore,2
"Wstern dress eto pochondo hoile oder dormo accept kore namta paltai den, emon dress pore chobi ditesen islame theke r dorkar ki..",2
Er cheye nengto thakai valo,0
Aker maal,0
Desi maal purai,0
Toder muslim hishebe porichoy dileo guna hoba,0
tahole............ sex korar jonno tomake chai ,0
Ahare... Dada jole?? Ora chumma pay ar apni pan na??,0
Halar pakir size to deko,0
Ke oni onar poricoy ta jante chai,3
Motamuti boro ache,3
bancud tor ay obostha Hobe,0
Vabi re blsi wait vay ,3
 Tumar dim vasbo,3
Mangsho ranna Korte pari ,3
Khaita pari aita e onk.,3
na kheye thaken etao onk,3
Na gooo tmi e sikhe nao ami ghurbo khabo gumabo er tmi ranna bashon maja moshari tanano sob korba,3
Akdom thik kotha,3
Sudu dim nh minimum 20+ item ranna korte pari atai onk,3
Tacara r ki lage . Oitai jothesto,3
Nijer bal nijey kat te pari eta onek,0
bari bal paro tahole tume,0
Aj theke free fire bad pubg khelbo,3
Ami to coc. free fire. pubg. ai 3 tai kheli taile amar ki 3 ta gf hobe ,3
are miya pubg deyar dorker ki cilo ami to meye ta amar ki ay golo yea mane ,3
lesbian apu,0
 apu pubg id den apnar sathe khelbo,3
apunik na mane to ki hose..... Amir to pubg khali.... ,3
vai free fire player der bow ta aktu valo  diben na,3
 ff jamon bou. o tamon ,3
At least bokacondro ra bujte parse je pubg player go loge mess nehi karneka barna uski Unda forneka  jak vallagse bou ta,0
Vai kheli to PUBG 1ta re koyjon nibe... Jonogon er sarthe dan korlam...,3
Free fire chere ajk pubg khela suru korbo ,3
Tar mane Amer 4 ta bou !,3
Hoo vai posondo hoiche parcel kore diye jan plz,3
 Aj Theke ami fire fire bad pubg ' jindabad,3
Areh  k acis bow dekhe ja bow paye geci,3
Vai ami coc + FF player so amar 2 ra bou kintu bou dwita parcels kore basai pathai diyan,3
"Ami to onak game khale,,,,,Temple run,,Free Fire,,, Ludu,,,,, thaholay amar bow kon ta",3
Ff player bow ta ke amare chure matun,3
vai ami free fire kheli amarta parcel kore dia den,3
Toi vala hoile ami o eto din e vala hooya jaitam,3
tore r vala krte parlam na re toi luiccai roiya geli,2
Ami obosso pubg player.. Kintu age free fire kheltam..  Coc o install dea ase.. r majhe majhe Run temple kheli... Ekhon amr konta aprai bln ,3
Vai vhabtasi akhn theke free fire badh Diya pubg khela shuru Kormu ,3
"Niche petikot ache seta bollo kintu upore je2 ta peyara ache seta kno bollo na ,kew niye jabe ttai",0
"Ei deke sob gula ex bow ke divorc deya free fire ke present bow hisabe songsar kora ami,",3
Pubg player der jamai er collection dile valo hoito,3
Vai ami coc & pubg kheli oigula amar ar sunenen jara pubg & coc khelen tara kintu eder dike nojor dibenna plz...,3
Ami ja disen shobi kheli shob gula den amk,3
PUBG player er bow ki jno cuse khabar jnno tanteche...,0
Free Fire player der bow er theka sundor bujsos,3
mama parle biya koraio deh mama,3
Ai nostor baccain der ke biya korbe ke je biya korbe se sala akta pagol cagol cara ar kicu na,2
pubg er gushti chudi shala,0
Taile tw amr laiga onek gola ailo bou mm.,3
Vai bisas koren ami minecraft khale na age khalta ai video dekhe minecraft ki jini ta ami vhule gesi.,3
bundho tmi nh ludu khelo,3
PUBG Player er song name ta ki?,3
 are ase dak pubg er ager ta,3
Jak pubg kheila lav hoyse bangla vai  astase amr order ta apner kache hefazote rakhen,3
vhai porn gamer der bow gula dekhte pelam nah .,0
Taile tw amr laiga onek gola ailo bou,3
Vai bissas koren ami minecraft game khale na age khalta ai video dekhe minecraft ki jini ta ami vhule gese.,3
AJ theke free fire bad diye  pubg khelmo Ami,3
Tomi amar balar video banau ,0
Bai ami to game thoi da khali ami ki bow thoi da nita parmo,3
Dudh gorom hole shor jome upore r meyeder niche,0
chudir bhai free fire ta bhalo dawa dorkar silo,0
Free fire er mayre ch*di....pubg install maro re,0
protiva ace,3
Tatay amar bal cera gelo,0
Ami ekta bichi bechbo,3
amio akta bechmu vabchi,3
"Kidney to thake pichoner dike, bandage samner dike kora ken?",3
Kidni ki samne thake naki,3
ami amr kidney sale dibo kew ki niba,3
nunu bechbo kinte chaile keo janaio,0
Aha kew dhor amare,3
Kidney nah beche putki taa beche dile kichu din beche jeto,3
Kidney kokhon samne aslo!!!! ,3
Allah tomake hedayet dan koruk. Jate tumi ar eisob baje pic post na koro. Amin.,3
api aro ekta diye amare ekta iphone kine den ,3
 tor kidni bikri koira ami iPhone kinmu ,3
 Tr kidni beicca kinoc na kne amre koire kitar lagi,3
Sudu ainar samne pic tular jnn,3
Vai namaj porte jai jilapi ar jonno nah,3
Alhamdulillah je jumma bar ta paisi,3
oi Miya Tumi bujso na kisu tomar eee pap Hobe remove dew,3
ahare ajj ekta jamai thakle aina dito apnare ,3
ok problem nai ami khuje dibo ne ,3
toi akta legend boja gace,3
Nah jalebir dam onek tai keu deyna,3
Aj gelam koto asa niye.aj kew dei nai,3
TikTok a jilaba song dekhar pore ar Mon chay na,3
 Ajka deselo mosjid a but anci na jelapi,3
Ekta prem korte pari nai ar ex pabo koi ,3
Siddharth er atogula shana ase ta too jant am na,3
Faltu meye gulo.... Karo feelings niye hasi tamasha korte nei ader nijeder je porjonto kharap kicu na hobe sodrabe na... ..,2
Aei song niye suru kore dice...,3
Aj o bece gelo amr name,3
ato sundor motivational  makeup video kore unake kew support Kore na muslim Jodi sodik hoi aiduniay tar dam  nai  Jahannami ra dam ai duniay,3
Ami sumon amr kuno ex nai,3
Vai ato nam bad dea amr nam dete galen kan,3
Allaaaaaaaahhhh tomar kasy bichar roilooooo ,3
ader sober x akta chale e taw fuck boy ,2
Ei gaan ta niye emn na korlew parten...,3
trend er mayre chudi,0
Video ta dekhar por ami ,3
Jottosob pagol er mela,3
ah sona go khub koshto hocche na?,3
Tahole apni myb jama pora thakem always! ,0
Bahh...! besibag chelera deki sundor hoia gelo ,3
Na sobai thake na ok. ,3
lagle boilo pblm nai  tomra meyera tw abar takla kakuder burir upor crush khao,3
Amr ek takla kaka chilo tar  buri ta dekhaitam arki,3
Apnake dekhte chawa amr mon,3
inbox e ashen,3
klk apnar basar samne aissa guraguri korbe dekhben ,3
Sundor meyera basai dress pore thake,3
amar soitan friend ar soitani kotha,3
ar shundori meye nengta thake,0
oma tai naki?,3
Kar teikei copy marsen post ta,3
Tahole sob cele rai sundor judi amn taa hoy,3
Hoo vai apnar kotha suno jama kapor sob bece dichi cz sundor hote hobe,3
Bainchod AMr Matha ulot palot koira laise,0
Vai tumi ki. Bahire thake. Mane  Soudi arob,3
ka oi maiya ta daki to dakouu. ,3
vai you are Sirius taniya ta k vai ,3
Asci fira barita biyar postab ta dia na gala khobor aca ,3
Kaji office jabo na Basay kaji nia asan,3
Oky babu aso kaji office e jai,3
O no ami booked  bollam na ,3
 ami tmr e cilam nahidar aci r taniyar thakbo ,3
 Niye gece akta kutta,0
Thaniya ekhn C.U.D.S-E,0
Kintu taniya toh cudse ..,0
Aro Aktu Valo kore Short likhben boro hoise beshi likhtw hobe j. ,3
Pukur parer Khashi Taniyeake valobashi ,3
hoito tmr jnnoi aj ami single ,3
Edaning amay niye eto post korchen bepar ki.nije k to ekhon celebrate mone hochche.,3
tmk kintu onk love Kore aktu bujo,3
Le Bangla vai ata tor jonno,3
Shera bangali chudir vai purushkar dawa hok,0
Bah ato vlo basha koi thake ,3
horek rokom mal tania amar bal,0
dusto kno jani tumi tumi mone hosche,3
bah jijaji peye niyechi ,3
Thqniya cuds e ase..okhane jay ko.ekhane bal felos kn,0
Na ami taniya k vlobasi ami to taniyar soto bon k vlobasi,3
